Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results
masala chai loose leaf tea,Transactional,140,"0.19,0.65,0.80,0.65,1.00,0.65,0.53,0.65,0.42,0.53,0.80,1.00",19,1.05,1.00,1230000
nutritional value of chai tea,Informational,140,"0.41,0.66,0.66,0.66,0.52,0.24,1.00,0.79,0.34,0.17,0.34,0.24",22,0.00,0.01,9290000
organic tazo chai tea,"Informational, Transactional",140,"0.81,0.81,0.00,1.00,1.00,0.53,1.00,0.00,1.00,0.19,0.43,1.00",20,0.42,1.00,186000
powdered chai tea recipe,Informational,140,"0.03,0.26,0.03,0.34,0.80,1.00,1.00,0.80,0.53,0.53,0.34,0.53",17,0.00,0.03,22100000
pumpkin spice chai tea latte recipe,Informational,140,"0.04,0.07,0.54,1.00,0.81,0.35,0.19,0.10,0.07,0.10,0.06,0.07",20,0.00,0.02,3190000
pumpkin spice chai tea starbucks,Informational,140,"0.04,0.04,0.43,1.00,0.81,0.18,0.06,0.18,0.10,0.14,0.10,0.14",21,0.00,0.04,1910000
rishi masala chai tea concentrate,"Informational, Transactional",140,"0.29,1.00,0.12,0.05,0.05,0.02,0.09,0.01,0.00,0.05,0.00,0.00",24,0.56,1.00,20700
sheer chai tea,Informational,140,"0.66,0.66,0.66,0.52,0.66,0.42,0.66,0.42,0.80,1.00,0.52,0.80",23,0.00,0.07,846000
spice chai tea,Informational,140,"0.43,0.43,0.65,1.00,0.33,0.43,0.33,0.43,0.20,0.15,0.02,0.15",25,0.56,1.00,28200000
spicy chai tea recipe,Informational,140,"0.15,0.21,0.34,0.53,0.81,0.65,0.65,1.00,0.12,0.12,0.06,0.00",18,0.34,0.02,15900000
starbucks chai tea latte k cups,Commercial,140,"0.12,0.17,0.23,0.35,0.82,1.00,0.35,0.23,0.17,0.28,0.17,0.23",20,0.30,0.88,70
tazo chai tea caffeine,Informational,140,"0.35,0.42,0.42,0.65,1.00,0.53,0.42,0.80,0.53,0.53,0.35,0.35",20,0.00,0.45,76
tazo chai tea concentrate recipe,Informational,140,"0.36,0.45,0.64,1.00,0.73,0.45,0.36,0.64,0.64,0.45,0.64,0.36",17,0.00,0.07,201000
tazo chai tea organic,"Informational, Transactional",140,"0.51,0.67,0.05,1.00,0.81,0.81,1.00,0.14,0.81,0.67,0.51,0.81",21,0.20,1.00,
tazo decaf chai tea,"Informational, Transactional",140,"0.34,0.53,1.00,0.42,0.42,0.53,0.80,0.26,0.42,0.26,0.42,0.26",29,0.28,1.00,92300
tazo decaf chai tea latte,Informational,140,"0.42,1.00,0.80,0.34,0.65,0.53,0.53,0.53,0.53,0.53,0.53,0.42",29,0.21,1.00,50800
tea and chai,Informational,140,"0.43,0.21,0.21,1.00,0.81,0.28,0.43,0.28,0.65,0.34,0.28,0.53",29,0.49,0.94,146000000
tea india masala chai,"Informational, Transactional",140,"0.33,0.42,0.66,1.00,0.52,0.66,0.66,0.80,0.52,0.80,0.52,0.52",15,0.20,0.88,6660000
trader joe's chai tea latte,Informational,140,"0.22,0.22,0.35,0.54,0.00,0.43,1.00,0.00,0.00,0.02,0.22,0.66",20,0.00,0.00,70
twinings french vanilla chai tea,"Informational, Transactional",140,"0.31,0.63,0.63,0.81,0.63,0.81,0.81,1.00,0.63,0.50,0.63,0.50",17,0.26,0.99,83
vanilla chai tea latte recipe,Informational,140,"0.43,0.43,0.53,0.66,0.66,1.00,0.10,0.12,0.07,0.07,0.10,0.05",17,0.00,0.00,11600000
vegan chai tea,Informational,140,"0.34,0.34,0.42,1.00,0.65,0.80,0.65,0.53,0.42,0.42,0.42,0.42",23,0.00,0.83,33800000
whats a dirty chai tea latte,Informational,140,"0.43,0.34,0.34,0.43,0.65,1.00,0.28,0.15,0.43,0.81,0.53,0.12",27,0.21,0.01,1710000
where can i buy chai tea,Transactional,140,"0.43,0.52,0.66,0.52,1.00,0.43,0.82,0.66,0.52,0.52,0.66,0.52",21,0.46,1.00,112000000
where to buy chai tea,Transactional,140,"0.42,0.52,0.80,0.80,0.66,0.66,1.00,0.66,0.66,0.66,0.66,0.52",22,0.46,1.00,49100000
best chai tea latte powder,Commercial,110,"0.34,1.00,1.00,0.19,0.42,0.26,0.34,0.34,0.26,0.19,0.26,0.42",29,0.45,1.00,9880000
best chai tea nyc,Commercial,110,"0.65,0.65,0.53,0.53,0.65,0.53,1.00,0.53,0.65,0.41,0.53,1.00",29,0.00,0.04,2280000
bigelow tea vanilla chai,"Informational, Transactional",110,"0.50,0.35,0.50,0.63,0.63,0.78,1.00,1.00,0.78,0.78,0.78,0.78",21,0.79,0.93,251000
calories in starbucks chai tea latte grande,Informational,110,"0.64,0.64,0.64,0.52,0.64,0.41,0.64,0.52,0.64,1.00,0.64,0.41",17,0.58,0.03,144000
cardamom chai tea,Informational,110,"0.05,0.05,0.05,0.28,0.28,1.00,0.66,0.28,0.17,0.28,0.28,0.23",22,0.51,1.00,4880000
chai green tea caffeine,Informational,110,"0.01,1.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01",20,0.00,0.56,11000000
chai latte is coffee or tea,Informational,110,"0.42,0.42,0.42,0.33,0.52,0.33,0.66,0.52,0.80,0.52,1.00,0.52",21,0.00,0.00,21300000
chai latte with chai tea bag,Informational,110,"0.53,0.19,0.15,0.15,0.19,0.34,1.00,0.53,0.80,0.26,0.19,0.26",22,0.51,0.85,12600000
chai latte with tea bag,Informational,110,"0.40,0.40,0.53,0.64,1.00,0.53,1.00,1.00,0.53,0.28,0.17,0.11",18,0.51,0.85,10100000
chai loose leaf tea,Commercial,110,"0.07,0.15,0.03,0.26,0.26,0.53,0.65,0.53,0.65,0.34,0.80,1.00",23,0.96,1.00,4900000
chai tea at costco,Transactional,110,"0.00,0.00,0.00,0.28,0.43,0.35,0.66,0.43,0.23,0.17,0.28,1.00",28,0.00,1.00,86
chai tea banana bread,Informational,110,"0.52,0.52,0.52,0.52,0.66,0.42,0.66,0.42,0.52,0.19,0.42,1.00",18,0.00,0.02,11800000
chai tea bolthouse,Transactional,110,"0.43,0.00,0.52,0.80,1.00,0.34,0.00,0.00,0.34,0.12,0.12,0.15",19,0.62,0.97,67600
chai tea caffein,Informational,110,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",27,0.54,0.11,18000000
chai tea chocolate latte,Informational,110,"0.42,0.52,0.66,0.52,0.52,0.42,0.80,0.66,1.00,0.33,0.42,1.00",16,1.44,0.88,16700000
chai tea coffee recipe,Informational,110,"0.43,0.52,0.43,0.81,0.52,0.43,0.67,1.00,0.67,0.43,0.33,0.43",27,0.44,0.02,25100000
chai tea frisco,Commercial,110,"0.00,0.00,0.00,0.00,0.29,1.00,0.43,0.35,0.35,0.18,0.00,0.00",24,0.32,0.10,80
chai tea house,Commercial,110,"0.63,0.83,0.83,0.51,0.40,0.40,0.51,0.40,0.83,1.00,0.83,0.63",27,0.00,0.01,33500000
chai tea latte mix recipe,Informational,110,"0.32,0.23,0.32,0.66,0.66,1.00,0.82,0.52,0.52,0.43,0.43,0.32",19,0.00,0.09,8640000
chai tea latte nespresso,Informational,110,"0.52,0.52,0.66,0.52,0.66,0.52,1.00,0.14,0.82,0.32,0.23,0.05",25,0.31,0.85,88
chai tea latte nespresso pods,Commercial,110,"0.33,0.33,0.42,0.52,0.52,0.80,1.00,0.80,0.52,0.52,0.52,0.33",19,0.35,0.81,126000
chai tea latte starbucks calories grande,Informational,110,"0.64,0.64,0.64,0.52,0.64,0.41,0.64,0.52,0.64,0.23,0.52,1.00",18,0.58,0.03,192000
chai tea latte with almond milk,Informational,110,"0.32,0.23,0.32,0.66,0.53,0.43,0.32,1.00,0.66,1.00,0.81,0.66",17,0.00,0.23,8560000
chai tea liquid,Transactional,110,"0.64,0.64,1.00,1.00,1.00,0.78,1.00,1.00,0.78,0.78,1.00,1.00",22,0.72,1.00,10300000
chai tea nutrition info,Informational,110,"1.00,1.00,0.81,0.81,1.00,1.00,1.00,0.81,0.81,1.00,1.00,0.81",15,0.00,0.02,11000000
chai tea nutrition label,Informational,110,"0.64,0.64,0.52,0.52,0.64,0.82,0.64,1.00,0.41,0.82,0.52,0.41",17,0.00,0.02,1850000
chai tea protein,"Informational, Transactional",110,"0.65,0.82,0.65,0.82,0.65,0.65,0.40,0.65,0.52,0.52,0.65,1.00",18,0.86,1.00,11900000
chai tea pumpkin spice starbucks,Informational,110,"0.03,0.00,0.08,1.00,0.81,0.00,0.00,0.18,0.08,0.11,0.01,0.11",26,0.00,0.04,799000
chai tea recipe starbucks,Informational,110,"0.35,0.64,1.00,0.64,0.79,0.79,0.79,1.00,0.64,1.00,0.79,0.35",22,0.00,0.00,8650000
chai tea set,"Informational, Transactional",110,"0.17,0.27,0.22,0.17,0.22,0.67,1.00,0.17,0.17,0.17,0.17,0.17",18,0.85,1.00,42000000
chai tea shortbread,Informational,110,"0.12,0.12,0.17,0.23,0.28,0.43,1.00,0.28,0.23,0.17,0.17,0.17",25,0.00,0.06,2550000
chai tea starbucks calories,Informational,110,"0.65,0.53,0.83,0.65,0.83,0.53,0.53,1.00,0.53,0.65,0.41,0.11",27,0.85,0.07,94
chai tea starbucks recipe,Informational,110,"0.52,0.52,0.65,0.82,0.82,0.65,0.52,1.00,0.82,0.65,0.52,0.29",19,0.00,0.00,9450000
chai tea vs coffee caffeine,"Informational, Commercial",110,"0.28,0.17,0.11,1.00,0.17,0.17,0.28,0.35,0.22,0.35,0.35,0.22",24,0.00,0.00,11700000
chai tea weight loss,Informational,110,"0.19,0.42,0.26,0.34,0.26,0.26,0.65,1.00,0.53,0.26,0.34,0.42",29,0.00,0.77,12000000
chai tea with boba,Informational,110,"0.10,0.04,0.34,0.06,0.06,0.06,0.10,1.00,0.07,0.15,0.15,0.07",16,0.41,0.09,6320000
decaf chai tea concentrate,Commercial,110,"0.33,0.33,0.42,0.66,0.42,0.80,0.33,1.00,0.52,0.66,0.23,0.33",17,0.89,1.00,164000
decaf tazo chai tea latte,Commercial,110,"0.42,1.00,0.80,0.42,0.65,0.26,0.42,0.34,0.42,0.15,0.34,0.53",28,0.21,1.00,50700
diy chai tea concentrate,Informational,110,"0.52,0.52,0.64,0.64,0.64,1.00,0.82,0.82,0.52,0.64,0.52,0.41",27,0.00,0.30,652000
do chai tea lattes have espresso,Informational,110,"0.34,0.42,0.34,0.34,0.42,0.34,0.53,0.42,0.42,0.80,0.42,1.00",25,0.00,0.00,1850000
does chai tea latte have caffeine in it,Informational,110,"0.28,0.34,0.28,0.53,1.00,0.28,0.28,0.28,0.43,0.28,0.28,0.81",17,0.00,0.00,7840000
does dunkin donuts have chai tea,Informational,110,"0.64,0.64,0.78,1.00,1.00,1.00,0.78,1.00,0.64,0.78,0.78,0.64",15,0.00,0.00,96
does tazo chai tea have caffeine,Informational,110,"0.38,0.23,0.46,1.00,0.77,0.77,0.38,0.62,0.62,0.46,0.46,0.38",27,0.00,0.00,64
ginger chai tea latte,Informational,110,"0.12,0.17,0.27,0.17,0.22,0.43,1.00,0.36,0.27,0.27,0.17,0.12",22,0.00,0.71,5270000
herbalife chai tea,"Informational, Transactional",110,"0.79,1.00,0.79,0.79,0.65,0.79,0.65,0.79,0.65,0.65,0.65,0.65",24,0.20,0.81,55
how do you make vanilla chai tea,Informational,110,"0.79,0.79,0.79,0.79,0.79,0.64,1.00,0.64,0.79,0.29,0.64,1.00",15,0.00,0.01,10600000
how many carbs in a starbucks chai tea latte,Informational,110,"1.00,1.00,1.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",27,1.09,0.07,1200000
how much caffeine in tazo chai tea,Informational,110,"0.50,0.50,0.63,1.00,1.00,0.63,0.63,0.78,1.00,0.78,1.00,0.78",16,0.00,0.00,67
how much is a chai tea latte at starbucks,Informational,110,"0.78,0.63,0.78,0.78,0.78,0.78,1.00,1.00,0.50,0.50,0.35,0.78",18,0.66,0.08,8910000
how to brew chai tea,Informational,110,"0.33,0.52,0.42,0.52,0.80,1.00,0.80,0.66,0.52,0.52,0.42,0.33",15,0.00,0.03,19300000
how to drink chai tea,Informational,110,"0.33,0.33,0.53,0.53,0.66,0.66,1.00,0.81,0.53,0.53,0.43,0.33",19,0.00,0.02,51900000
how to make a pumpkin chai tea latte,Informational,110,"0.05,0.05,0.81,1.00,0.67,0.22,0.12,0.12,0.07,0.07,0.05,0.05",25,0.00,0.02,5600000
how to make chai latte with chai tea bag,Informational,110,"0.34,0.42,0.34,0.19,0.11,0.26,0.42,0.34,0.34,1.00,0.42,0.80",22,0.20,0.01,8250000
how to say chai tea,Informational,110,"0.53,0.65,1.00,0.83,0.83,1.00,0.83,0.53,0.53,0.29,0.53,0.29",29,0.00,0.00,28100000
is chai tea spicy,Informational,110,"0.52,0.52,0.52,0.52,0.52,0.43,0.66,0.52,0.52,0.23,0.43,1.00",19,0.00,0.00,18800000
is there caffeine in a starbucks chai tea latte,Informational,110,"0.42,0.42,0.80,1.00,0.65,0.80,0.07,0.26,0.00,0.19,0.42,0.80",28,0.00,0.01,1160000
is there caffeine in starbucks chai tea latte,Informational,110,"0.41,0.41,1.00,1.00,1.00,0.29,0.82,0.64,0.52,1.00,0.64,0.64",20,0.00,0.00,3080000
keto chai tea latte,Informational,110,"0.52,0.52,0.82,1.00,1.00,0.65,0.65,1.00,0.52,0.65,0.65,0.52",15,0.55,0.89,2620000
low calorie chai tea,Informational,110,"0.64,0.64,1.00,0.64,0.82,0.52,0.64,0.52,0.82,0.41,0.52,1.00",16,0.51,1.00,6690000
low calorie chai tea latte,Informational,110,"0.52,0.52,0.80,0.52,0.66,0.52,0.42,0.52,0.33,0.52,1.00,1.00",18,0.44,0.99,2710000
mystic chai tea costco,Informational,110,"0.64,0.40,0.40,0.40,0.53,0.40,0.53,0.53,1.00,0.64,0.40,0.28",28,0.00,0.99,17
mystic chai tea where to buy,Transactional,110,"0.00,0.22,0.04,0.04,0.22,0.22,1.00,0.35,0.22,0.22,0.22,0.18",21,0.39,0.92,56
nespresso chai tea latte,Informational,110,"0.65,0.65,0.82,0.65,0.82,0.65,1.00,0.52,0.52,0.00,0.40,0.05",25,0.31,0.85,2410000
recipe for starbucks iced chai tea latte,Informational,110,"0.00,0.00,0.00,0.00,0.67,0.27,0.53,0.33,0.27,0.00,0.17,1.00",28,0.55,0.01,6110000
skinny chai tea,Transactional,110,"0.64,0.52,1.00,1.00,0.41,0.41,0.64,0.82,0.64,0.82,0.64,1.00",28,0.68,1.00,846000
spicy chai tea concentrate,Transactional,110,"0.52,0.66,0.82,0.82,0.82,0.43,0.52,1.00,0.32,0.18,0.32,0.43",16,0.72,1.00,625000
starbucks chai tea bags,Transactional,110,"1.00,0.12,0.10,0.17,0.23,0.23,0.23,0.43,0.17,0.17,0.12,0.17",25,0.30,0.87,2390000
starbucks chai tea mix,Commercial,110,"0.34,0.21,0.34,0.28,0.21,0.21,1.00,0.53,0.21,0.28,0.21,0.28",21,0.56,0.88,4760000
starbucks grande chai tea latte calories,Informational,110,"0.64,0.64,0.64,0.64,0.82,0.52,0.82,0.82,0.52,0.52,0.64,1.00",20,1.17,0.02,98
starbucks iced chai tea latte caffeine,Informational,110,"0.66,0.80,1.00,0.52,0.52,0.33,0.42,0.42,0.52,0.33,0.52,1.00",27,0.00,0.00,97
starbucks pumpkin spice chai tea,Informational,110,"0.03,0.00,0.01,1.00,0.81,0.01,0.00,0.15,0.08,0.08,0.01,0.11",21,0.00,0.04,1910000
tazo chai tea decaf,"Informational, Transactional",110,"0.33,0.66,1.00,0.33,0.53,0.53,0.66,0.33,0.43,0.09,0.43,0.33",21,0.18,0.96,72500
tazo decaffeinated chai tea,"Informational, Transactional",110,"0.33,1.00,1.00,0.33,0.42,0.33,0.66,0.52,0.33,0.33,0.33,0.04",28,0.28,1.00,101000
tazo tea decaf chai,"Informational, Transactional",110,"0.33,1.00,1.00,0.33,0.42,0.33,0.66,0.33,0.42,0.33,0.23,0.04",28,0.28,1.00,104000
tea india masala chai tea,Transactional,110,"0.29,0.65,0.65,1.00,0.52,0.40,0.52,0.52,0.52,0.82,0.52,0.65",24,0.20,0.88,7020000
trader joe's chai tea latte mix,"Informational, Transactional",110,"0.66,1.00,0.66,0.52,0.52,0.33,0.42,0.42,0.33,0.04,0.33,0.33",21,0.00,0.82,60
trader joe's spicy chai tea latte mix,"Informational, Transactional",110,"0.35,0.53,0.42,0.42,0.53,1.00,0.42,0.35,0.26,0.00,0.42,0.26",22,0.00,0.69,54
turmeric chai tea latte,Informational,110,"0.67,0.81,0.42,0.42,0.67,0.51,1.00,0.51,0.67,0.42,0.51,0.42",16,0.67,1.00,1250000
vanilla chai tea dunkin donuts,Informational,110,"0.52,0.65,0.52,0.52,0.65,0.82,1.00,0.65,0.52,0.65,0.82,0.82",28,0.00,0.06,81
venti iced chai tea latte calories,Informational,110,"0.66,1.00,0.81,0.43,0.33,0.33,0.24,0.53,0.53,0.43,0.53,0.43",16,0.00,0.00,56
what flavor is chai tea,Informational,110,"0.42,0.52,0.80,1.00,0.66,0.42,0.52,0.42,0.52,0.52,0.52,0.52",20,0.00,0.00,21800000
whats a dirty chai tea,Informational,110,"1.00,0.65,0.65,0.81,0.43,0.06,0.34,0.09,0.06,0.06,0.09,0.06",16,0.00,0.00,3950000
are chai tea lattes healthy,Informational,90,"0.36,0.49,0.49,0.64,0.49,0.79,0.64,1.00,0.36,0.79,0.64,0.49",22,0.00,0.00,2540000
benefits to chai tea,Informational,90,"1.00,0.00,0.17,0.02,0.00,0.00,0.00,0.07,0.43,0.05,0.28,0.53",26,0.00,0.02,24400000
best black tea for masala chai,Commercial,90,"0.29,0.53,0.41,0.53,0.65,1.00,0.83,0.83,0.65,0.53,0.41,0.41",28,0.66,0.90,7310000
best chai tea latte k cups,Commercial,90,"0.35,0.50,0.50,0.64,0.64,0.50,1.00,1.00,0.50,0.50,0.50,0.50",15,0.44,0.96,81
biggby chai tea latte,Informational,90,"0.50,0.78,0.78,0.78,0.78,0.50,0.64,0.64,0.50,0.21,0.64,1.00",29,0.00,0.00,68
caffeine in chai tea latte vs coffee,"Informational, Commercial",90,"0.45,0.82,0.82,0.82,1.00,0.64,1.00,0.82,1.00,0.64,0.82,0.82",22,0.00,0.00,7430000
caffeine in chai tea vs coffee,"Informational, Commercial",90,"0.40,0.64,0.11,0.81,0.28,0.28,0.40,1.00,0.53,0.81,0.40,0.28",18,0.00,0.00,11700000
calories in grande chai tea latte starbucks,Informational,90,"1.00,1.00,1.00,0.81,1.00,0.64,1.00,0.81,0.00,0.00,0.00,0.00",15,0.58,0.03,153000
calories in starbucks tall chai tea latte,Informational,90,"0.50,0.64,0.64,0.50,0.64,0.50,0.64,0.64,0.64,0.64,0.64,1.00",18,0.63,0.04,176000
carbs chai tea latte,Informational,90,"1.00,0.00,1.00,0.81,1.00,0.64,1.00,0.81,1.00,0.36,0.81,0.64",15,0.00,0.01,261000
carbs in chai tea,Informational,90,"0.63,0.44,0.81,0.81,1.00,0.81,0.63,1.00,0.63,0.81,0.63,0.81",19,0.00,0.00,3120000
cardamom in chai tea,Informational,90,"0.82,0.82,0.52,0.82,0.05,0.64,1.00,0.11,0.17,0.11,0.05,0.11",28,0.19,0.94,4920000
chai box tea,"Navigational, Transactional",90,"0.18,1.00,1.00,1.00,1.00,0.81,1.00,0.81,0.63,0.63,0.81,0.63",18,1.42,1.00,33300000
chai city tea,Navigational,90,"0.78,0.78,0.50,0.64,0.64,0.50,0.64,0.35,0.50,0.28,0.64,1.00",16,0.00,0.05,26500000
chai latte from chai tea bag,Informational,90,"0.22,0.00,0.00,0.00,0.02,0.22,1.00,0.02,0.29,0.00,0.00,0.00",18,0.45,0.90,12200000
chai latte with chai tea bags,Informational,90,"0.22,0.02,0.08,0.02,0.10,0.22,1.00,0.02,0.14,0.04,0.00,0.02",18,0.45,0.90,5310000
chai milk tea boba,Informational,90,"0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.62,1.00,1.00,0.62,0.62",15,0.00,0.18,5420000
chai spiced tea,Informational,90,"0.26,0.26,0.19,0.26,0.35,0.26,0.42,1.00,0.42,0.26,0.35,0.26",25,0.44,1.00,7790000
chai tea benefits before bed,Informational,90,"0.33,0.23,0.23,0.23,0.33,0.66,0.66,1.00,0.42,0.23,0.33,0.23",18,0.00,0.00,100
chai tea breve,Informational,90,"0.49,0.49,0.64,0.79,0.49,1.00,1.00,0.49,0.36,0.21,0.36,0.49",29,0.00,0.01,57
chai tea carbs,Informational,90,"0.62,0.45,0.81,0.81,1.00,0.81,0.62,1.00,0.62,0.81,0.62,0.81",24,0.00,0.00,3120000
chai tea cocktail recipe,Informational,90,"0.11,0.11,0.11,0.64,0.82,1.00,1.00,0.64,0.41,0.41,0.41,0.41",15,0.00,0.00,9350000
chai tea concentrate homemade,Informational,90,"0.50,0.63,0.63,0.63,0.00,0.31,1.00,0.06,0.63,0.00,0.50,0.38",26,0.00,0.33,1130000
chai tea creme brulee,Informational,90,"0.33,0.33,0.33,0.42,0.52,1.00,0.66,0.66,0.33,0.42,0.23,0.33",17,0.00,0.00,2660000
chai tea extract,Transactional,90,"0.41,0.41,0.52,0.64,1.00,0.52,0.64,0.52,0.41,0.29,0.52,0.52",25,0.74,1.00,6010000
chai tea gifts,Transactional,90,"0.10,0.07,0.10,0.10,0.12,0.43,1.00,0.12,0.10,0.10,0.12,0.17",16,0.85,1.00,10200000
chai tea keto,Informational,90,"0.64,0.81,1.00,1.00,1.00,0.64,0.64,0.81,0.64,0.81,0.45,0.64",16,0.28,0.85,5780000
chai tea keurig,"Informational, Transactional",90,"0.35,0.48,0.35,0.65,0.65,0.65,0.78,0.48,0.48,1.00,0.48,0.48",17,0.24,1.00,445000
chai tea latte cookies,Informational,90,"0.11,0.18,0.18,0.35,0.42,0.65,1.00,0.26,0.26,0.18,0.18,0.26",18,0.00,0.03,13900000
chai tea latte grande starbucks calories,Informational,90,"1.00,1.00,1.00,0.81,1.00,0.64,1.00,0.81,0.00,0.00,0.00,0.00",20,0.58,0.03,293000
chai tea latte sugar,Informational,90,"0.50,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00,1.00",28,0.00,0.04,17200000
chai tea latte walmart,"Informational, Transactional",90,"0.64,0.79,0.64,0.64,0.64,0.64,0.64,0.64,0.79,0.50,0.64,1.00",29,0.08,1.00,316000
chai tea liquid concentrate,Transactional,90,"0.15,0.19,0.26,1.00,0.80,0.26,0.34,0.26,0.26,0.26,0.26,0.34",16,0.67,1.00,987000
chai tea mints,Commercial,90,"0.82,0.82,0.82,1.00,1.00,0.82,0.82,0.64,0.64,0.64,0.82,0.82",23,0.20,0.86,64
chai tea nearby,Transactional,90,"0.42,0.09,0.52,0.52,0.33,0.42,0.52,0.80,0.66,0.80,0.52,1.00",24,2.59,0.96,100
chai tea new york,Commercial,90,"0.00,0.00,0.00,1.00,1.00,0.51,0.80,0.66,0.66,0.31,0.31,1.00",26,1.21,0.08,10800000
chai tea online,Transactional,90,"0.06,0.06,0.06,0.34,1.00,0.34,0.28,0.53,0.53,0.06,0.06,0.06",16,1.24,1.00,29800000
chai tea oregon,Transactional,90,"0.40,0.40,0.40,1.00,0.40,0.28,0.53,0.53,0.40,0.40,0.53,0.65",19,0.29,1.00,1230000
chai tea pregnancy safe,Informational,90,"0.35,0.50,0.78,0.35,0.78,1.00,0.78,1.00,0.50,0.50,0.50,0.50",16,0.00,0.01,88
chai tea shortbread cookies,Informational,90,"0.12,0.12,0.12,0.23,0.17,0.27,1.00,0.23,0.12,0.23,0.12,0.17",20,0.00,0.15,1190000
chai tea twinings,Commercial,90,"0.32,0.19,0.43,0.43,0.23,0.23,1.00,0.53,0.23,0.32,0.19,0.66",23,0.22,1.00,934000
chai tea wawa,"Informational, Navigational",90,"0.64,0.78,0.50,0.50,0.78,0.64,1.00,0.64,0.35,0.35,0.50,0.78",19,0.00,0.05,60
chai tea when pregnant,Informational,90,"0.64,0.82,0.82,0.82,0.82,1.00,0.82,0.82,0.64,0.82,0.45,0.45",17,0.00,0.00,92
chai tea with eggnog,Informational,90,"0.03,0.03,0.03,0.08,0.15,0.35,1.00,0.08,0.03,0.03,0.03,0.05",16,0.00,0.05,321000
chai vanilla tea benefits,"Informational, Commercial",90,"0.52,0.52,0.52,0.52,0.66,0.52,0.00,0.66,0.52,0.19,0.23,1.00",19,0.00,0.01,5240000
classic chai tea,Commercial,90,"0.45,0.81,0.63,0.81,0.63,0.81,0.81,1.00,0.81,0.63,0.63,0.63",23,0.90,0.94,25500000
coffee bean chai tea latte,Informational,90,"0.50,0.50,0.64,0.64,1.00,0.50,0.50,0.64,0.64,0.78,0.50,0.50",16,0.65,0.11,9580000
concentrated chai tea,Transactional,90,"0.12,0.06,0.81,1.00,0.81,0.15,0.00,0.03,0.12,0.03,0.06,0.09",17,0.64,1.00,13300000
copycat starbucks chai tea latte,Informational,90,"0.53,0.23,1.00,0.81,0.81,0.40,0.81,0.40,0.28,0.40,0.40,0.17",27,0.00,0.09,552000
costco chai tea latte,Navigational,90,"0.50,0.50,0.50,0.78,0.78,0.78,0.64,1.00,0.64,0.64,0.50,0.50",28,0.00,0.83,75
does chai tea have as much caffeine as coffee,Informational,90,"0.36,0.49,0.79,0.64,0.79,0.49,0.64,0.64,0.64,0.36,0.64,1.00",18,0.00,0.01,12200000
does chai tea have calories,Informational,90,"0.35,0.35,0.63,0.50,0.63,0.63,0.63,1.00,0.63,0.78,0.63,0.78",27,0.00,0.00,21500000
does chai tea latte have caffiene,Informational,90,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00",21,0.00,0.00,8330000
does chai tea latte have sugar,Informational,90,"0.49,0.49,0.49,0.49,0.79,0.79,0.79,1.00,0.64,0.64,0.79,0.64",22,0.00,0.00,16600000
eggnog chai tea,Informational,90,"0.03,0.03,0.03,0.08,0.15,0.35,1.00,0.08,0.03,0.03,0.03,0.05",16,0.00,0.05,811000
grande iced chai tea latte calories,Informational,90,"0.81,1.00,1.00,0.81,0.62,0.45,0.45,0.62,0.62,0.81,0.62,0.62",17,0.00,0.00,61
harney & sons chai tea,"Informational, Transactional",90,"0.64,0.64,0.78,0.00,0.78,0.78,1.00,0.14,0.78,0.28,0.64,1.00",26,0.48,1.00,200000
healthier chai tea latte,Informational,90,"0.65,0.00,0.04,0.80,1.00,0.41,0.54,0.00,0.00,0.26,0.33,0.00",20,0.83,1.00,6510000
homemade chai tea latte iced,Informational,90,"0.63,0.78,0.63,0.63,0.63,0.50,0.35,0.63,0.50,1.00,1.00,1.00",25,0.37,0.10,6030000
how much caffeine is in tazo chai tea,Informational,90,"0.00,0.82,0.05,0.82,0.64,0.64,0.64,1.00,0.64,0.41,0.52,0.52",21,0.00,0.00,57
how much caffeine is in twinings chai tea,Informational,90,"0.45,0.45,0.64,0.81,1.00,1.00,0.64,1.00,0.64,1.00,0.64,0.64",15,0.00,0.00,50
how much caffiene is in chai tea,Informational,90,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.44,1.00,0.04,0.01",20,0.00,0.00,16000000
how to make a chai latte with chai tea bags,Informational,90,"0.07,0.07,0.10,0.02,0.43,0.17,0.67,0.67,0.02,0.27,0.43,1.00",22,0.20,0.01,4040000
how to make a chai latte with tea bags,Informational,90,"0.33,0.09,0.33,0.52,0.80,0.52,0.52,0.33,0.33,0.42,0.42,1.00",27,0.11,0.01,4530000
how to make chai tea from starbucks,Informational,90,"0.81,0.81,0.64,0.81,0.81,0.64,1.00,0.81,1.00,0.36,0.81,1.00",19,0.00,0.01,10500000
